customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-AAAAA,Male,0,Yes,Yes,52,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),68.56,3571.56,No
5506-HHHHH,Female,0,No,Yes,4,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,37.84,150.66,No
4657-EEEEE,Male,0,Yes,Yes,34,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.93,3620.22,Yes
2679-VVVVV,Male,0,No,Yes,69,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),26.49,1827.26,No
9935-CCCCC,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,55.47,1843.1,No
7912-BBBBB,Female,0,No,Yes,69,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,50.33,3476.03,Yes
1488-CCCCC,Male,0,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),114.57,4375.82,No
4582-HHHHH,Male,0,Yes,No,26,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,30.12,784.83,Yes
9279-TTTTT,Male,0,No,Yes,1,Yes,No,No,No,No,No,No,Yes,No internet service,Two year,No,Electronic check,107.71,117.84,Yes
1434-RRRRR,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),64.12,261.73,No
4257-WWWWW,Male,1,Yes,Yes,39,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),23.02,891.45,Yes
9928-NNNNN,Male,0,Yes,Yes,54,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),91.5,4940.38,No
4611-OOOOO,Male,1,No,No,33,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),28.39,948.0,No
5557-ZZZZZ,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.07,1384.84,No
1106-YYYYY,Female,0,Yes,Yes,72,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,98.62,7104.64,No
3615-WWWWW,Male,0,Yes,No,20,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,33.8,669.79,No
